nicho,producto,url_imagen_actual,url_imagen_nueva
Aires Acondicionados,Cecotec ForceClima 9250,https://images.pexels.com/photos/30962631/pexels-photo-30962631.jpeg,
Aires Acondicionados,Tristar AC-5477,https://images.pexels.com/photos/30962631/pexels-photo-30962631.jpeg,
Aires Acondicionados,DeLonghi Pinguino Compact,https://images.pexels.com/photos/30962631/pexels-photo-30962631.jpeg,
Aires Acondicionados,Orbegozo ADR 96,https://images.pexels.com/photos/30962631/pexels-photo-30962631.jpeg,
Aires Acondicionados,Midea Portátil 12000 BTU,https://images.pexels.com/photos/30962631/pexels-photo-30962631.jpeg,
Ventiladores,Rowenta Turbo Silence,https://images.pexels.com/photos/42220/air-blade-blowing-chrome-42220.jpeg,
Ventiladores,Dyson Pure Cool,https://images.pexels.com/photos/42220/air-blade-blowing-chrome-42220.jpeg,
Ventiladores,Tristar VE-5928,https://images.pexels.com/photos/42220/air-blade-blowing-chrome-42220.jpeg,
Ventiladores,Cecotec EnergySilence,https://images.pexels.com/photos/42220/air-blade-blowing-chrome-42220.jpeg,
Ventiladores,Xiaomi Mi Smart Fan,https://images.pexels.com/photos/42220/air-blade-blowing-chrome-42220.jpeg,
Piscinas,Intex Easy Set 305cm,https://images.pexels.com/photos/36568258/pexels-photo-36568258.jpeg,
Piscinas,Bestway Steel Pro 366cm,https://images.pexels.com/photos/36568258/pexels-photo-36568258.jpeg,
Piscinas,GRE Córcega 350cm,https://images.pexels.com/photos/36568258/pexels-photo-36568258.jpeg,
Piscinas,PHS Summer Waves 244cm,https://images.pexels.com/photos/36568258/pexels-photo-36568258.jpeg,
Piscinas,Hinchable Familiar Bestway,https://images.pexels.com/photos/36568258/pexels-photo-36568258.jpeg,
Portátiles,ASUS Vivobook 15,https://images.pexels.com/photos/943596/pexels-photo-943596.jpeg,
Portátiles,Lenovo IdeaPad 3,https://images.pexels.com/photos/943596/pexels-photo-943596.jpeg,
Portátiles,HP Pavilion 15,https://images.pexels.com/photos/943596/pexels-photo-943596.jpeg,
Portátiles,Acer Aspire 5,https://images.pexels.com/photos/943596/pexels-photo-943596.jpeg,
Portátiles,MacBook Air M2,https://images.pexels.com/photos/943596/pexels-photo-943596.jpeg,
Barbacoas,Weber Spirit II E-310,https://images.pexels.com/photos/34027187/pexels-photo-34027187.jpeg,
Barbacoas,Campingaz 4 Series Classic,https://images.pexels.com/photos/34027187/pexels-photo-34027187.jpeg,
Barbacoas,Char-Broil Convective 310,https://images.pexels.com/photos/34027187/pexels-photo-34027187.jpeg,
Barbacoas,Weber Compact Kettle 57cm,https://images.pexels.com/photos/34027187/pexels-photo-34027187.jpeg,
Barbacoas,Landmann Grill Chef,https://images.pexels.com/photos/34027187/pexels-photo-34027187.jpeg,
Bicis,Fiido D11,https://images.pexels.com/photos/15009951/pexels-photo-15009951.jpeg,
Bicis,Xiaomi HIMO C20,https://images.pexels.com/photos/15009951/pexels-photo-15009951.jpeg,
Bicis,ANCHEER 26,https://images.pexels.com/photos/15009951/pexels-photo-15009951.jpeg,
Bicis,VTT E-Bike 27.5,https://images.pexels.com/photos/15009951/pexels-photo-15009951.jpeg,
Bicis,DYU D3F,https://images.pexels.com/photos/15009951/pexels-photo-15009951.jpeg,
Cafeteras,DeLonghi Dedica EC685,https://images.pexels.com/photos/16729424/pexels-photo-16729424.jpeg,
Cafeteras,Krups XP3208,https://images.pexels.com/photos/16729424/pexels-photo-16729424.jpeg,
Cafeteras,Orbegozo EXP 4600,https://images.pexels.com/photos/16729424/pexels-photo-16729424.jpeg,
Cafeteras,Philips 3200 Series,https://images.pexels.com/photos/16729424/pexels-photo-16729424.jpeg,
Cafeteras,Breville Barista Express,https://images.pexels.com/photos/16729424/pexels-photo-16729424.jpeg,
Auriculares,Sony WH-CH720N,https://images.pexels.com/photos/3394666/pexels-photo-3394666.jpeg,
Auriculares,SoundPEATS Space,https://images.pexels.com/photos/3394666/pexels-photo-3394666.jpeg,
Auriculares,JBL Tune 760NC,https://images.pexels.com/photos/3394666/pexels-photo-3394666.jpeg,
Auriculares,Anker Soundcore Life Q30,https://images.pexels.com/photos/3394666/pexels-photo-3394666.jpeg,
Auriculares,Apple AirPods Max,https://images.pexels.com/photos/3394666/pexels-photo-3394666.jpeg,
Móviles,Xiaomi Redmi Note 13 Pro,https://images.pexels.com/photos/215581/pexels-photo-215581.jpeg,
Móviles,Samsung Galaxy A55,https://images.pexels.com/photos/215581/pexels-photo-215581.jpeg,
Móviles,Realme 12 Pro+,https://images.pexels.com/photos/215581/pexels-photo-215581.jpeg,
Móviles,Motorola Moto G84,https://images.pexels.com/photos/215581/pexels-photo-215581.jpeg,
Móviles,Poco X6 Pro,https://images.pexels.com/photos/215581/pexels-photo-215581.jpeg
